YUV,SETTING,QP,OPT,Y-PSNR,U-PSNR,V-PSNR,YUV-PSNR,BITRATE,TOTAL TIME
KristenAndSara_1280x720_60fps_8bit,32framelimt_RA,27,noOPT,42.2671,47.1458,48.1506,43.3996,877.0200,2972.973
KristenAndSara_1280x720_60fps_8bit,32framelimt_RA,32,OPT,40.4407,45.3643,46.4992,41.5745,468.4350,953.067
KristenAndSara_1280x720_60fps_8bit,32framelimt_RA,32,noOPT,40.4407,45.3643,46.4992,41.5745,468.4350,1846.794
KristenAndSara_1280x720_60fps_8bit,32framelimt_RA,37,OPT,38.1916,43.4224,44.4860,39.3531,265.4550,579.243
KristenAndSara_1280x720_60fps_8bit,32framelimt_RA,37,noOPT,38.1916,43.4224,44.4860,39.3531,265.4550,1131.731
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,22,OPT,40.3907,44.3420,45.3101,41.3411,12314.0100,18359.845
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,27,OPT,38.8746,43.3370,44.3155,39.9539,4237.7100,8726.782
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,32,OPT,36.9766,42.2480,43.0157,38.1468,1873.3650,5405.933
MarketPlace_1920x1080_60fps_10bit,32framelimt_RA,37,OPT,34.8261,40.9755,41.7147,36.0862,888.7950,3192.632
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,22,OPT,43.8697,37.9390,38.8829,41.0341,119674.3500,104931.303
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,22,noOPT,43.8697,37.9390,38.8829,41.0341,119674.3500,158410.519
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,27,OPT,39.8095,34.7109,36.0667,37.6277,46111.4000,62505.551
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,27,noOPT,39.8095,34.7109,36.0667,37.6277,46111.4000,94370.356
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,32,OPT,36.4221,32.6101,34.2121,35.0316,20076.1875,37884.691
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,32,noOPT,36.4221,32.6101,34.2121,35.0316,20076.1875,63289.108
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,37,OPT,33.3794,30.9085,32.7422,32.6712,8460.6750,22911.408
ParkRunning3_3840x2160_50fps_10bit,32framelimt_RA,37,noOPT,33.3794,30.9085,32.7422,32.6712,8460.6750,41387.688
PartyScene_832x480_50fps_8bit,32framelimt_RA,22,OPT,38.7126,41.7022,42.4214,39.1719,8792.5750,5543.783
PartyScene_832x480_50fps_8bit,32framelimt_RA,27,OPT,34.7655,39.0357,39.5842,35.4964,4111.2375,3308.826
PartyScene_832x480_50fps_8bit,32framelimt_RA,32,OPT,31.4660,37.0491,37.4369,32.4495,2026.3125,2210.999
PartyScene_832x480_50fps_8bit,32framelimt_RA,37,OPT,28.4608,35.2679,35.4021,29.6303,962.2125,1579.187
RaceHorses_416x240_30fps_8bit,32framelimt_RA,22,OPT,39.5149,41.5859,42.1374,39.9491,1208.6550,1741.036
RaceHorses_416x240_30fps_8bit,32framelimt_RA,27,OPT,35.4641,38.9220,39.2439,36.1575,577.9575,1306.875
RaceHorses_416x240_30fps_8bit,32framelimt_RA,32,OPT,32.0961,36.8685,36.9149,33.0225,289.0500,996.203
RaceHorses_416x240_30fps_8bit,32framelimt_RA,37,OPT,29.2286,35.2306,35.1159,30.3511,143.4075,591.012
